backbone.layers.5.1.depthwise_conv.bn.bias	(1392,)
backbone.layers.5.1.depthwise_conv.bn.running_mean	(1392,)
backbone.layers.5.1.depthwise_conv.bn.running_var	(1392,)
backbone.layers.5.1.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.5.1.se.conv1.conv.weight	(58, 1392, 1, 1)
backbone.layers.5.1.se.conv1.conv.bias	(58,)
backbone.layers.5.1.se.conv2.conv.weight	(1392, 58, 1, 1)
backbone.layers.5.1.se.conv2.conv.bias	(1392,)
backbone.layers.5.1.linear_conv.conv.weight	(232, 1392, 1, 1)
backbone.layers.5.1.linear_conv.bn.weight	(232,)
backbone.layers.5.1.linear_conv.bn.bias	(232,)
backbone.layers.5.1.linear_conv.bn.running_mean	(232,)
backbone.layers.5.1.linear_conv.bn.running_var	(232,)
backbone.layers.5.1.linear_conv.bn.num_batches_tracked	()
backbone.layers.5.2.expand_conv.conv.weight	(1392, 232, 1, 1)
backbone.layers.5.2.expand_conv.bn.weight	(1392,)
backbone.layers.5.2.expand_conv.bn.bias	(1392,)
backbone.layers.5.2.expand_conv.bn.running_mean	(1392,)
backbone.layers.5.2.expand_conv.bn.running_var	(1392,)
backbone.layers.5.2.expand_conv.bn.num_batches_tracked	()
backbone.layers.5.2.depthwise_conv.conv.weight	(1392, 1, 5, 5)
backbone.layers.5.2.depthwise_conv.bn.weight	(1392,)
backbone.layers.5.2.depthwise_conv.bn.bias	(1392,)
backbone.layers.5.2.depthwise_conv.bn.running_mean	(1392,)
backbone.layers.5.2.depthwise_conv.bn.running_var	(1392,)
backbone.layers.5.2.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.5.2.se.conv1.conv.weight	(58, 1392, 1, 1)
backbone.layers.5.2.se.conv1.conv.bias	(58,)
backbone.layers.5.2.se.conv2.conv.weight	(1392, 58, 1, 1)
